S,预测值,真实值,预测值-真实值
0,72.10009,72.0,0.10009003
1,33.89958,34.0,-0.100421906
2,72.90006,73.0,-0.09993744
3,60.100388,60.0,0.10038757
4,72.0998,72.0,0.09980011
5,62.100033,62.0,0.10003281
6,53.09961,53.0,0.099609375
7,62.099766,62.0,0.09976578
8,61.649902,62.0,-0.35009766
9,59.18961,62.0,-2.8103905
10,61.8999,62.0,-0.10010147
11,72.09992,72.0,0.09992218
12,34.5942,34.0,0.59420013
13,45.90008,46.0,-0.099918365
14,62.09997,62.0,0.09997177
15,51.90053,52.0,-0.09946823
16,63.984604,64.0,-0.015396118
17,65.90013,66.0,-0.099868774
18,34.099827,34.0,0.09982681
19,71.15729,72.0,-0.8427124
20,66.90009,67.0,-0.09990692
21,54.100227,54.0,0.100227356
22,54.458057,55.0,-0.5419426
23,62.100204,62.0,0.10020447
24,71.8997,72.0,-0.10030365
25,63.100018,63.0,0.10001755
26,43.100094,43.0,0.10009384
27,60.52961,59.0,1.5296097
28,69.900154,70.0,-0.099845886
29,72.099846,72.0,0.099845886
30,70.0998,70.0,0.09980011
31,53.03319,53.0,0.03319168
32,67.10026,67.0,0.10025787
33,70.099884,70.0,0.09988403
34,64.100105,64.0,0.100105286
35,70.89993,71.0,-0.10006714
36,10.099811,10.0,0.0998106
37,30.899702,31.0,-0.10029793
38,72.100235,72.0,0.100234985
39,70.09974,70.0,0.099739075
40,53.100487,53.0,0.100486755
41,69.89976,70.0,-0.100242615
42,45.899857,46.0,-0.10014343
43,58.099796,58.0,0.099796295
44,50.900146,51.0,-0.099853516
45,61.899788,62.0,-0.1002121
46,34.099762,34.0,0.09976196
47,71.89997,72.0,-0.10002899
48,55.100018,55.0,0.10001755
49,61.10029,61.0,0.10028839
50,31.099905,31.0,0.099905014
51,58.900158,59.0,-0.09984207
52,57.899654,58.0,-0.10034561
53,66.10008,66.0,0.1000824
54,70.90393,71.0,-0.096069336
55,74.07023,74.0,0.07022858
56,71.900085,72.0,-0.09991455
57,46.100193,46.0,0.10019302
58,62.070183,62.0,0.0701828
59,51.100494,51.0,0.100494385
60,54.89982,55.0,-0.10018158
61,72.10035,72.0,0.100349426
62,70.09996,70.0,0.09996033
63,59.899693,60.0,-0.100307465
64,70.10022,70.0,0.10021973
65,70.09987,70.0,0.099868774
66,62.100033,62.0,0.10003281
67,72.09992,72.0,0.09992218
68,62.89973,63.0,-0.10026932
69,58.97552,59.0,-0.024478912
70,70.899956,71.0,-0.10004425
71,71.90008,72.0,-0.09992218
72,59.18961,62.0,-2.8103905
73,70.10009,70.0,0.10009003
