,0,1,2
0,72.0,72.0,0.0
1,72.0,72.0,0.0
2,73.0,72.0,1.0
3,71.0,72.0,-1.0
4,73.0,72.0,1.0
5,71.0,72.0,-1.0
6,72.0,72.0,0.0
7,72.0,72.0,0.0
8,71.0,72.0,-1.0
9,71.0,72.0,-1.0
10,73.0,73.0,0.0
11,72.0,73.0,-1.0
12,73.0,73.0,0.0
13,73.0,73.0,0.0
14,73.0,73.0,0.0
15,73.0,73.0,0.0
16,73.0,73.0,0.0
17,73.0,73.0,0.0
18,73.0,73.0,0.0
19,73.0,73.0,0.0
20,72.0,72.0,0.0
21,72.0,72.0,0.0
22,72.0,72.0,0.0
23,72.0,72.0,0.0
24,72.0,72.0,0.0
25,72.0,72.0,0.0
26,72.0,72.0,0.0
27,71.0,72.0,-1.0
28,72.0,72.0,0.0
29,71.0,72.0,-1.0
30,70.0,70.0,0.0
31,70.0,70.0,0.0
32,70.0,70.0,0.0
33,70.0,70.0,0.0
34,70.0,70.0,0.0
35,71.0,70.0,1.0
36,70.0,70.0,0.0
37,70.0,70.0,0.0
38,70.0,70.0,0.0
39,70.0,70.0,0.0
40,71.0,70.0,1.0
41,70.0,70.0,0.0
42,70.0,70.0,0.0
43,71.0,70.0,1.0
44,70.0,70.0,0.0
45,70.0,70.0,0.0
46,70.0,70.0,0.0
47,70.0,70.0,0.0
48,70.0,70.0,0.0
49,70.0,70.0,0.0
50,64.0,64.0,0.0
51,64.0,64.0,0.0
52,65.0,64.0,1.0
53,64.0,64.0,0.0
54,64.0,64.0,0.0
55,64.0,64.0,0.0
56,64.0,64.0,0.0
57,64.0,64.0,0.0
58,64.0,64.0,0.0
59,64.0,64.0,0.0
60,63.0,63.0,0.0
61,63.0,63.0,0.0
62,63.0,63.0,0.0
63,62.0,63.0,-1.0
64,63.0,63.0,0.0
65,63.0,63.0,0.0
66,63.0,63.0,0.0
67,63.0,63.0,0.0
68,63.0,63.0,0.0
69,63.0,63.0,0.0
70,63.0,64.0,-1.0
71,64.0,64.0,0.0
